Date,uk10_yield
2-Jun-14,2.6929
3-Jun-14,2.7186
4-Jun-14,2.7807
5-Jun-14,2.7706
6-Jun-14,2.7486
9-Jun-14,2.7661
10-Jun-14,2.795
11-Jun-14,2.7807
12-Jun-14,2.7858
13-Jun-14,2.8397
16-Jun-14,2.829
17-Jun-14,2.853
18-Jun-14,2.8099
19-Jun-14,2.818
20-Jun-14,2.8521
23-Jun-14,2.8211
24-Jun-14,2.8256
25-Jun-14,2.7455
26-Jun-14,2.7349
27-Jun-14,2.7337
30-Jun-14,2.7673
1-Jul-14,2.8008
2-Jul-14,2.8435
3-Jul-14,2.8466
4-Jul-14,2.8537
7-Jul-14,2.8328
8-Jul-14,2.7618
9-Jul-14,2.7674
10-Jul-14,2.7328
11-Jul-14,2.7129
14-Jul-14,2.7131
15-Jul-14,2.7546
16-Jul-14,2.7564
17-Jul-14,2.6941
18-Jul-14,2.6797
21-Jul-14,2.6659
22-Jul-14,2.6878
23-Jul-14,2.6589
24-Jul-14,2.7051
25-Jul-14,2.6726
28-Jul-14,2.6832
29-Jul-14,2.6483
30-Jul-14,2.6981
31-Jul-14,2.7179
1-Aug-14,2.6623
4-Aug-14,2.6434
5-Aug-14,2.6823
6-Aug-14,2.6234
7-Aug-14,2.6011
8-Aug-14,2.5631
11-Aug-14,2.6043
12-Aug-14,2.5999
13-Aug-14,2.55
14-Aug-14,2.539
15-Aug-14,2.4687
18-Aug-14,2.5376
19-Aug-14,2.5004
20-Aug-14,2.5202
21-Aug-14,2.509
22-Aug-14,2.5175
26-Aug-14,2.4474
27-Aug-14,2.3737
28-Aug-14,2.3752
29-Aug-14,2.375
1-Sep-14,2.3924
2-Sep-14,2.4378
3-Sep-14,2.4729
4-Sep-14,2.492
5-Sep-14,2.4676
8-Sep-14,2.4555
9-Sep-14,2.4688
10-Sep-14,2.4959
11-Sep-14,2.4946
12-Sep-14,2.5323
15-Sep-14,2.5371
16-Sep-14,2.5315
17-Sep-14,2.5317
18-Sep-14,2.5835
19-Sep-14,2.5525
22-Sep-14,2.5161
23-Sep-14,2.492
24-Sep-14,2.4861
25-Sep-14,2.4771
26-Sep-14,2.485
29-Sep-14,2.4689
30-Sep-14,2.4504
1-Oct-14,2.3991
2-Oct-14,2.3706
3-Oct-14,2.4114
6-Oct-14,2.3842
7-Oct-14,2.3213
8-Oct-14,2.2753
9-Oct-14,2.281
10-Oct-14,2.2412
13-Oct-14,2.1791
14-Oct-14,2.1454
15-Oct-14,2.0149
16-Oct-14,2.0916
17-Oct-14,2.2035
20-Oct-14,2.167
21-Oct-14,2.1836
22-Oct-14,2.2102
23-Oct-14,2.2497
24-Oct-14,2.252
27-Oct-14,2.2325
28-Oct-14,2.2545
29-Oct-14,2.2731
30-Oct-14,2.254
31-Oct-14,2.284
3-Nov-14,2.3082
4-Nov-14,2.2638
5-Nov-14,2.2916
6-Nov-14,2.279
7-Nov-14,2.2418
10-Nov-14,2.2216
11-Nov-14,2.2647
12-Nov-14,2.22
13-Nov-14,2.2124
14-Nov-14,2.1738
17-Nov-14,2.1521
18-Nov-14,2.1517
19-Nov-14,2.1661
20-Nov-14,2.1282
21-Nov-14,2.0802
24-Nov-14,2.0792
25-Nov-14,2.0356
26-Nov-14,1.9997
27-Nov-14,1.959
28-Nov-14,1.9575
1-Dec-14,1.927
2-Dec-14,2.0096
3-Dec-14,2.0452
4-Dec-14,2.026
5-Dec-14,2.0614
8-Dec-14,2.0268
9-Dec-14,1.9481
10-Dec-14,1.9687
11-Dec-14,1.9608
12-Dec-14,1.8541
15-Dec-14,1.868
16-Dec-14,1.8269
17-Dec-14,1.8177
18-Dec-14,1.9308
19-Dec-14,1.9185
22-Dec-14,1.8923
23-Dec-14,1.9206
24-Dec-14,1.95
29-Dec-14,1.8749
30-Dec-14,1.8597
31-Dec-14,1.8155
2-Jan-15,1.7846
5-Jan-15,1.7162
6-Jan-15,1.6465
7-Jan-15,1.6584
8-Jan-15,1.697
9-Jan-15,1.6342
12-Jan-15,1.6276
13-Jan-15,1.6388
14-Jan-15,1.566
15-Jan-15,1.5734
16-Jan-15,1.5961
19-Jan-15,1.5804
20-Jan-15,1.5854
21-Jan-15,1.5318
22-Jan-15,1.5542
23-Jan-15,1.5168
26-Jan-15,1.5472
27-Jan-15,1.526
28-Jan-15,1.5146
29-Jan-15,1.4751
30-Jan-15,1.3979
2-Feb-15,1.4403
3-Feb-15,1.5283
4-Feb-15,1.5882
5-Feb-15,1.6045
6-Feb-15,1.7029
9-Feb-15,1.668
10-Feb-15,1.7247
11-Feb-15,1.7407
12-Feb-15,1.7242
13-Feb-15,1.7275
16-Feb-15,1.7498
17-Feb-15,1.8122
18-Feb-15,1.8987
19-Feb-15,1.8777
20-Feb-15,1.8242
23-Feb-15,1.8545
24-Feb-15,1.8229
25-Feb-15,1.7716
26-Feb-15,1.8071
27-Feb-15,1.8615
2-Mar-15,1.8822
3-Mar-15,1.9449
4-Mar-15,1.9813
5-Mar-15,1.9601
6-Mar-15,2.0492
9-Mar-15,2.0356
10-Mar-15,1.9109
11-Mar-15,1.9179
12-Mar-15,1.8499
13-Mar-15,1.8083
16-Mar-15,1.7862
17-Mar-15,1.7835
18-Mar-15,1.711
19-Mar-15,1.6393
20-Mar-15,1.6426
23-Mar-15,1.6351
24-Mar-15,1.64
25-Mar-15,1.6098
26-Mar-15,1.6953
27-Mar-15,1.605
30-Mar-15,1.685
31-Mar-15,1.6969
1-Apr-15,1.6625
2-Apr-15,1.7212
7-Apr-15,1.7243
8-Apr-15,1.7129
9-Apr-15,1.6998
10-Apr-15,1.7214
13-Apr-15,1.732
14-Apr-15,1.6557
15-Apr-15,1.7005
16-Apr-15,1.7326
17-Apr-15,1.7038
20-Apr-15,1.6978
21-Apr-15,1.6911
22-Apr-15,1.8117
23-Apr-15,1.8201
24-Apr-15,1.7919
27-Apr-15,1.8149
28-Apr-15,1.8176
29-Apr-15,1.9359
30-Apr-15,1.9531
1-May-15,1.9431
5-May-15,2.0844
6-May-15,2.0766
7-May-15,2.0297
8-May-15,1.9469
11-May-15,2.0331
12-May-15,2.0836
13-May-15,2.072
14-May-15,2.0956
15-May-15,2.002
18-May-15,2.0368
19-May-15,2.0474
20-May-15,2.0673
21-May-15,2.0659
22-May-15,2.0189
26-May-15,1.9923
27-May-15,1.9932
28-May-15,1.9403
29-May-15,1.9324
1-Jun-15,1.9479
2-Jun-15,2.0829
3-Jun-15,2.2052
4-Jun-15,2.1148
5-Jun-15,2.1962
8-Jun-15,2.1876
9-Jun-15,2.2343
10-Jun-15,2.2783
11-Jun-15,2.2089
12-Jun-15,2.1143
15-Jun-15,2.1715
16-Jun-15,2.1431
17-Jun-15,2.1601
18-Jun-15,2.138
19-Jun-15,2.1048
22-Jun-15,2.1944
23-Jun-15,2.2099
24-Jun-15,2.2262
25-Jun-15,2.2375
26-Jun-15,2.2682
29-Jun-15,2.1709
30-Jun-15,2.1373
1-Jul-15,2.2097
2-Jul-15,2.1752
3-Jul-15,2.1148
6-Jul-15,2.1318
7-Jul-15,1.937
8-Jul-15,2.0074
9-Jul-15,2.1051
10-Jul-15,2.2132
13-Jul-15,2.2419
14-Jul-15,2.2794
15-Jul-15,2.2659
16-Jul-15,2.2035
17-Jul-15,2.1998
20-Jul-15,2.1952
21-Jul-15,2.1984
22-Jul-15,2.1495
23-Jul-15,2.1413
24-Jul-15,2.0509
27-Jul-15,2.0416
28-Jul-15,2.0555
29-Jul-15,2.0791
30-Jul-15,2.0987
31-Jul-15,2.016
3-Aug-15,2.014
4-Aug-15,2.0105
5-Aug-15,2.0962
6-Aug-15,2.0283
7-Aug-15,1.9974
10-Aug-15,2.056
11-Aug-15,1.9363
12-Aug-15,1.9305
13-Aug-15,1.983
14-Aug-15,2.013
17-Aug-15,1.9632
18-Aug-15,2.02
19-Aug-15,2.0166
20-Aug-15,1.9046
21-Aug-15,1.864
24-Aug-15,1.8378
25-Aug-15,1.9367
26-Aug-15,1.9903
27-Aug-15,2.0118
28-Aug-15,1.9884
1-Sep-15,1.9775
2-Sep-15,1.9876
3-Sep-15,1.9515
4-Sep-15,1.8704
7-Sep-15,1.844
8-Sep-15,1.8888
9-Sep-15,1.9028
10-Sep-15,1.8798
11-Sep-15,1.8452
14-Sep-15,1.8753
15-Sep-15,1.9287
16-Sep-15,1.9627
