Date,EURIBOR,SONIA
21-Jan-02,3.346,4.1707
22-Jan-02,3.349,4.4332
23-Jan-02,3.361,3.8148
24-Jan-02,3.369,3.2657
25-Jan-02,3.378,3.2383
28-Jan-02,3.381,3.3565
29-Jan-02,3.378,3.2911
30-Jan-02,3.362,3.9811
31-Jan-02,3.371,4.1909
1-Feb-02,3.375,4.2853
4-Feb-02,3.364,3.7573
5-Feb-02,3.357,4.4308
6-Feb-02,3.351,4.5028
7-Feb-02,3.347,3.462
8-Feb-02,3.353,3.343
11-Feb-02,3.354,4.8021
12-Feb-02,3.352,4.5896
13-Feb-02,3.358,3.4342
14-Feb-02,3.358,3.2407
15-Feb-02,3.354,3.2525
18-Feb-02,3.352,3.524
19-Feb-02,3.352,4.4487
20-Feb-02,3.352,3.7428
21-Feb-02,3.354,4.2985
22-Feb-02,3.355,4.5535
25-Feb-02,3.354,4.8498
26-Feb-02,3.365,4.7941
27-Feb-02,3.367,3.8203
28-Feb-02,3.366,4.0151
1-Mar-02,3.367,4.0288
4-Mar-02,3.37,4.8667
5-Mar-02,3.369,4.8627
6-Mar-02,3.369,3.8875
7-Mar-02,3.368,3.4683
8-Mar-02,3.374,3.6363
11-Mar-02,3.374,4.301
12-Mar-02,3.374,3.6926
13-Mar-02,3.374,3.6212
14-Mar-02,3.379,3.4308
15-Mar-02,3.381,4.0114
18-Mar-02,3.381,3.9175
19-Mar-02,3.382,4.1204
20-Mar-02,3.382,4.3894
21-Mar-02,3.393,4.3286
22-Mar-02,3.401,4.6453
25-Mar-02,3.428,4.9108
26-Mar-02,3.452,4.1104
27-Mar-02,3.45,3.3604
28-Mar-02,3.448,3.2728
2-Apr-02,3.446,3.4549
3-Apr-02,3.441,3.6757
4-Apr-02,3.435,4.3766
5-Apr-02,3.43,3.348
8-Apr-02,3.422,3.3176
9-Apr-02,3.426,4.5336
10-Apr-02,3.413,3.2732
11-Apr-02,3.414,3.2225
12-Apr-02,3.411,3.2134
15-Apr-02,3.408,3.3999
16-Apr-02,3.399,3.4473
