Date,uk_ftse
23-Nov-11,"5,139.78"
22-Nov-11,"5,206.82"
21-Nov-11,"5,222.60"
18-Nov-11,"5,362.94"
17-Nov-11,"5,423.14"
16-Nov-11,"5,509.02"
15-Nov-11,"5,517.44"
14-Nov-11,"5,519.04"
11-Nov-11,"5,545.38"
10-Nov-11,"5,444.82"
9-Nov-11,"5,460.38"
8-Nov-11,"5,567.34"
7-Nov-11,"5,510.82"
4-Nov-11,"5,527.16"
3-Nov-11,"5,545.64"
2-Nov-11,"5,484.10"
1-Nov-11,"5,421.57"
31-Oct-11,"5,544.22"
28-Oct-11,"5,702.24"
27-Oct-11,"5,713.82"
26-Oct-11,"5,553.24"
25-Oct-11,"5,525.54"
24-Oct-11,"5,548.06"
21-Oct-11,"5,488.65"
20-Oct-11,"5,384.68"
19-Oct-11,"5,450.49"
18-Oct-11,"5,410.35"
17-Oct-11,"5,436.70"
14-Oct-11,"5,466.36"
13-Oct-11,"5,403.38"
12-Oct-11,"5,441.80"
11-Oct-11,"5,395.70"
10-Oct-11,"5,399.00"
7-Oct-11,"5,303.40"
6-Oct-11,"5,291.26"
5-Oct-11,"5,102.17"
4-Oct-11,"4,944.44"
3-Oct-11,"5,075.50"
30-Sep-11,"5,128.48"
29-Sep-11,"5,196.84"
28-Sep-11,"5,217.63"
27-Sep-11,"5,294.05"
26-Sep-11,"5,089.37"
23-Sep-11,"5,066.81"
22-Sep-11,"5,041.61"
21-Sep-11,"5,288.41"
20-Sep-11,"5,363.71"
19-Sep-11,"5,259.56"
16-Sep-11,"5,368.41"
15-Sep-11,"5,337.54"
14-Sep-11,"5,227.02"
13-Sep-11,"5,174.25"
12-Sep-11,"5,129.62"
9-Sep-11,"5,214.65"
8-Sep-11,"5,340.38"
7-Sep-11,"5,318.59"
6-Sep-11,"5,156.84"
5-Sep-11,"5,102.58"
2-Sep-11,"5,292.03"
1-Sep-11,"5,418.65"
31-Aug-11,"5,394.53"
30-Aug-11,"5,268.66"
26-Aug-11,"5,129.92"
25-Aug-11,"5,131.10"
24-Aug-11,"5,205.85"
23-Aug-11,"5,129.42"
22-Aug-11,"5,095.30"
19-Aug-11,"5,040.76"
18-Aug-11,"5,092.23"
17-Aug-11,"5,331.60"
16-Aug-11,"5,357.63"
15-Aug-11,"5,350.58"
12-Aug-11,"5,320.03"
11-Aug-11,"5,168.24"
10-Aug-11,"5,007.16"
9-Aug-11,"5,164.92"
8-Aug-11,"5,077.50"
5-Aug-11,"5,068.95"
4-Aug-11,"5,393.14"
3-Aug-11,"5,584.51"
2-Aug-11,"5,718.39"
1-Aug-11,"5,774.43"
29-Jul-11,"5,815.19"
28-Jul-11,"5,873.21"
27-Jul-11,"5,856.58"
26-Jul-11,"5,929.73"
25-Jul-11,"5,925.26"
22-Jul-11,"5,935.02"
21-Jul-11,"5,899.89"
20-Jul-11,"5,853.82"
19-Jul-11,"5,789.99"
18-Jul-11,"5,752.81"
15-Jul-11,"5,843.66"
14-Jul-11,"5,846.95"
13-Jul-11,"5,904.19"
12-Jul-11,"5,868.96"
11-Jul-11,"5,929.16"
8-Jul-11,"5,990.58"
7-Jul-11,"6,054.55"
6-Jul-11,"6,002.92"
5-Jul-11,"6,024.03"
4-Jul-11,"6,017.54"
1-Jul-11,"5,989.76"
30-Jun-11,"5,945.71"
29-Jun-11,"5,855.95"
28-Jun-11,"5,766.88"
27-Jun-11,"5,722.34"
24-Jun-11,"5,697.72"
23-Jun-11,"5,674.38"
22-Jun-11,"5,772.99"
21-Jun-11,"5,775.31"
20-Jun-11,"5,693.39"
17-Jun-11,"5,714.94"
16-Jun-11,"5,698.81"
15-Jun-11,"5,742.55"
14-Jun-11,"5,803.13"
13-Jun-11,"5,773.46"
10-Jun-11,"5,769.30"
9-Jun-11,"5,856.34"
8-Jun-11,"5,808.89"
7-Jun-11,"5,864.65"
6-Jun-11,"5,863.16"
3-Jun-11,"5,855.01"
2-Jun-11,"5,847.92"
1-Jun-11,"5,928.61"
31-May-11,"5,989.99"
27-May-11,"5,938.87"
26-May-11,"5,880.99"
25-May-11,"5,870.14"
24-May-11,"5,858.41"
23-May-11,"5,835.89"
20-May-11,"5,948.49"
19-May-11,"5,955.99"
18-May-11,"5,923.49"
17-May-11,"5,861.00"
16-May-11,"5,923.69"
13-May-11,"5,925.87"
12-May-11,"5,944.96"
11-May-11,"5,976.00"
10-May-11,"6,018.89"
9-May-11,"5,942.69"
6-May-11,"5,976.77"
5-May-11,"5,919.98"
4-May-11,"5,984.07"
3-May-11,"6,082.88"
28-Apr-11,"6,069.90"
27-Apr-11,"6,068.16"
26-Apr-11,"6,069.36"
21-Apr-11,"6,018.30"
20-Apr-11,"6,022.26"
19-Apr-11,"5,896.87"
18-Apr-11,"5,870.08"
15-Apr-11,"5,996.01"
14-Apr-11,"5,963.80"
13-Apr-11,"6,010.44"
12-Apr-11,"5,964.47"
11-Apr-11,"6,053.44"
8-Apr-11,"6,055.75"
7-Apr-11,"6,007.37"
6-Apr-11,"6,041.13"
5-Apr-11,"6,007.06"
4-Apr-11,"6,016.98"
1-Apr-11,"6,009.92"
31-Mar-11,"5,938.66"
30-Mar-11,"5,948.30"
29-Mar-11,"5,932.17"
28-Mar-11,"5,904.49"
25-Mar-11,"5,900.76"
24-Mar-11,"5,880.87"
23-Mar-11,"5,795.88"
22-Mar-11,"5,762.71"
21-Mar-11,"5,786.09"
18-Mar-11,"5,720.80"
17-Mar-11,"5,693.80"
16-Mar-11,"5,598.23"
15-Mar-11,"5,695.28"
14-Mar-11,"5,775.24"
11-Mar-11,"5,828.67"
10-Mar-11,"5,845.29"
9-Mar-11,"5,937.30"
8-Mar-11,"5,961.82"
7-Mar-11,"5,973.78"
4-Mar-11,"5,990.39"
3-Mar-11,"6,005.09"
2-Mar-11,"5,914.89"
1-Mar-11,"5,953.87"
28-Feb-11,"5,994.01"
25-Feb-11,"6,001.20"
24-Feb-11,"5,919.98"
23-Feb-11,"5,923.53"
22-Feb-11,"5,996.76"
21-Feb-11,"6,014.80"
18-Feb-11,"6,082.99"
17-Feb-11,"6,087.38"
16-Feb-11,"6,085.27"
15-Feb-11,"6,037.08"
14-Feb-11,"6,063.56"
11-Feb-11,"6,062.90"
10-Feb-11,"6,020.01"
9-Feb-11,"6,052.29"
8-Feb-11,"6,091.33"
7-Feb-11,"6,044.16"
4-Feb-11,"5,997.38"
3-Feb-11,"5,983.34"
2-Feb-11,"5,996.56"
1-Feb-11,"5,957.82"
31-Jan-11,"5,862.94"
28-Jan-11,"5,881.37"
27-Jan-11,"5,965.08"
26-Jan-11,"5,977.63"
25-Jan-11,"5,917.71"
24-Jan-11,"5,943.85"
21-Jan-11,"5,896.25"
20-Jan-11,"5,867.91"
19-Jan-11,"5,976.70"
18-Jan-11,"6,056.43"
17-Jan-11,"5,985.70"
14-Jan-11,"5,988.12"
13-Jan-11,"6,023.88"
12-Jan-11,"6,050.72"
11-Jan-11,"6,014.03"
10-Jan-11,"5,956.30"
7-Jan-11,"5,984.33"
6-Jan-11,"6,019.51"
5-Jan-11,"6,043.86"
4-Jan-11,"6,013.87"
31-Dec-10,"5,899.94"
30-Dec-10,"5,971.01"
29-Dec-10,"5,996.36"
24-Dec-10,"6,008.92"
23-Dec-10,"5,996.07"
22-Dec-10,"5,983.49"
21-Dec-10,"5,951.80"
20-Dec-10,"5,894.10"
17-Dec-10,"5,871.75"
16-Dec-10,"5,881.12"
15-Dec-10,"5,882.18"
14-Dec-10,"5,891.21"
13-Dec-10,"5,860.75"
10-Dec-10,"5,812.95"
9-Dec-10,"5,807.96"
8-Dec-10,"5,794.53"
7-Dec-10,"5,808.45"
6-Dec-10,"5,770.28"
3-Dec-10,"5,756.66"
2-Dec-10,"5,767.56"
1-Dec-10,"5,642.50"
30-Nov-10,"5,528.27"
29-Nov-10,"5,569.73"
26-Nov-10,"5,668.70"
25-Nov-10,"5,698.93"
24-Nov-10,"5,657.10"
23-Nov-10,"5,581.28"
22-Nov-10,"5,680.83"
19-Nov-10,"5,732.83"
18-Nov-10,"5,768.71"
17-Nov-10,"5,692.56"
16-Nov-10,"5,690.80"
15-Nov-10,"5,820.41"
12-Nov-10,"5,796.87"
11-Nov-10,"5,815.23"
10-Nov-10,"5,816.94"
9-Nov-10,"5,875.19"
8-Nov-10,"5,849.96"
5-Nov-10,"5,875.35"
4-Nov-10,"5,862.79"
3-Nov-10,"5,748.97"
2-Nov-10,"5,757.43"
1-Nov-10,"5,694.62"
29-Oct-10,"5,675.16"
28-Oct-10,"5,677.89"
27-Oct-10,"5,646.02"
26-Oct-10,"5,707.30"
25-Oct-10,"5,751.98"
22-Oct-10,"5,741.37"
21-Oct-10,"5,757.86"
20-Oct-10,"5,728.93"
19-Oct-10,"5,703.89"
18-Oct-10,"5,742.52"
15-Oct-10,"5,703.37"
14-Oct-10,"5,727.21"
13-Oct-10,"5,747.35"
12-Oct-10,"5,661.59"
11-Oct-10,"5,672.40"
8-Oct-10,"5,657.61"
7-Oct-10,"5,662.13"
6-Oct-10,"5,681.39"
5-Oct-10,"5,635.76"
4-Oct-10,"5,555.97"
1-Oct-10,"5,592.90"
30-Sep-10,"5,548.62"
29-Sep-10,"5,569.27"
28-Sep-10,"5,578.44"
27-Sep-10,"5,573.42"
24-Sep-10,"5,598.48"
23-Sep-10,"5,547.08"
22-Sep-10,"5,562.02"
21-Sep-10,"5,576.19"
20-Sep-10,"5,602.54"
17-Sep-10,"5,508.45"
16-Sep-10,"5,540.14"
15-Sep-10,"5,557.07"
14-Sep-10,"5,567.41"
13-Sep-10,"5,565.53"
10-Sep-10,"5,501.64"
9-Sep-10,"5,494.16"
8-Sep-10,"5,429.74"
7-Sep-10,"5,407.82"
6-Sep-10,"5,439.19"
3-Sep-10,"5,428.15"
2-Sep-10,"5,371.04"
1-Sep-10,"5,366.41"
31-Aug-10,"5,225.22"
27-Aug-10,"5,201.56"
26-Aug-10,"5,155.84"
25-Aug-10,"5,117.24"
24-Aug-10,"5,155.95"
23-Aug-10,"5,234.84"
20-Aug-10,"5,195.28"
19-Aug-10,"5,211.29"
18-Aug-10,"5,302.87"
17-Aug-10,"5,350.55"
16-Aug-10,"5,276.10"
13-Aug-10,"5,275.44"
12-Aug-10,"5,266.06"
11-Aug-10,"5,245.21"
10-Aug-10,"5,376.41"
9-Aug-10,"5,410.52"
6-Aug-10,"5,332.39"
5-Aug-10,"5,365.78"
4-Aug-10,"5,386.16"
3-Aug-10,"5,396.48"
2-Aug-10,"5,397.11"
30-Jul-10,"5,258.02"
29-Jul-10,"5,313.95"
27-Jul-10,"5,365.67"
